,distBF,distRA,distSeaTac
2653,27261.76094295073,29049.133937568025,51341.805862269954
2654,59244.004544636824,66219.01362868454,87601.87326337716
2655,62029.2255240202,81014.4425365661,92632.64926240529
2656,65241.81833752103,44432.386449869184,41457.84645898331
2657,59683.13252053942,81359.1255650095,89034.1619132901
2658,33618.75427434465,24150.916835185282,50121.57190353824
2659,36587.41473907412,36965.67023494868,10560.043506037178
2660,60837.235630850075,38739.81606629234,61545.991999846075
2661,96622.84804247275,82538.90289146456,66080.54550271503
2662,47115.76737604223,42340.404941586006,16974.999173826116
2663,79540.31300944419,91594.24864687599,109928.18989853092
2664,59277.092890095824,77036.23619665157,90109.79655429778
2665,81236.52184226434,96297.22787099802,112098.54277780977
2666,125266.50040508782,103289.28406473293,123885.13072468062
2667,30594.82240210007,54774.33019796167,57631.3340062246
2668,48250.97958129006,34315.25812543861,60971.27490219985
2669,92717.48086278561,77295.00750509421,62668.17046022489
2670,74550.81920221269,86078.19134301331,104772.97918497314
2671,77235.50806888753,85014.35544872218,106189.75473537717
2672,14404.079480563254,36357.05655913188,45098.767119395845
2673,72590.84523575152,56777.583428841885,82847.56044805834
2674,133800.10759390885,110735.75917743817,129198.16927332929
2675,67533.87326075937,49287.047028954556,40369.91181620222
2676,37318.69559917195,54218.216426748266,68181.96006909954
2677,31261.722447867116,19082.53127790322,45330.19615364791
2678,55172.84439124247,49695.03805581819,75611.81452347405
2679,101437.1439475709,78601.73566866033,78839.00264636497
2680,54198.03340778206,74330.64278909889,84518.73718874811
2681,42227.142124792525,18654.460978238047,29806.26065947591
2682,62087.91546556797,66298.41018936882,89121.92123933251
2683,58517.341863970476,47511.29544997025,74168.27495033757
2684,92569.72437036283,95341.98525196646,119185.3905551345
2685,18302.55915458245,38021.21199280331,29351.875430569584
2686,68150.27429531695,86772.53642226978,98798.0989255333
2687,17642.063823597353,38868.22790865574,48399.68630086819
2688,43582.95361253454,19271.313012755585,40098.41914143904
2689,67520.5666460137,72643.1580698513,95122.40664901923
2690,30300.73268648876,6588.293651424916,32062.12559290438
2691,108617.34008169259,105176.93028459123,131148.2603396749
2692,38307.81909686178,18093.119139689014,21305.856216519485
2693,42234.35935836731,38532.502746823404,63651.35392932179
2694,80017.84669047274,82359.63444479801,106260.19453710267
